file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,getName/0,false,214,0,3,3,0,3,2,6,2,2,0,2,0,0,1,1,0,0,1,2,2,0,1,0,0,0,7,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,varType/1[java.lang.String],false,400,5,5,0,5,7,5,18,4,5,1,5,2,1,1,4,1,0,0,1,5,0,3,0,0,0,20,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,dump/0,false,457,2,2,0,2,2,7,13,0,2,0,7,1,2,1,0,0,0,3,1,2,0,1,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,getMethods/0,false,295,4,6,0,6,13,13,43,2,14,0,13,3,1,6,1,1,0,0,8,14,0,5,0,0,0,29,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,getSuperclass/0,false,223,2,7,5,2,4,2,6,1,0,0,2,0,0,0,2,0,1,0,1,1,0,1,0,0,0,10,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,getArrayType/0,false,392,2,2,0,2,2,2,8,2,0,0,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,12,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,getPackage/0,false,233,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,isPrimitive/0,false,206,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,getDeclaringClass/0,false,266,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,getInterfaces/0,false,237,2,3,2,1,4,1,14,1,2,0,1,0,0,1,1,1,0,0,1,4,0,3,0,0,0,11,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,anonCheckSuper/0,false,144,2,3,1,2,3,2,12,0,1,0,2,1,1,0,0,1,0,0,0,4,0,2,0,0,0,25,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,toString/0,false,453,1,3,1,2,2,2,3,1,0,0,2,2,1,0,0,0,1,2,0,0,1,0,0,0,0,13,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,isArray/0,false,202,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,getModifiers/0,false,262,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,SourceType/1[jparse.TypeAST],true,99,2,3,2,1,3,0,19,0,2,1,0,0,0,1,1,0,0,0,2,12,0,1,0,0,0,21,0,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\SourceType.java,jparse.SourceType,isInner/0,false,210,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\HasExceptions.java,jparse.HasExceptions,getExceptionTypes/0,false,39,1,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\CompoundAST.java,jparse.stmt.CompoundAST,getList/0,false,136,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jparse-0.96\jparse-0.96\jparse\stmt\CompoundAST.java,jparse.stmt.CompoundAST,getVarList/0,false,123,2,5,3,2,2,1,7,1,2,0,1,0,0,1,0,0,0,0,1,3,0,1,0,0,0,5,1,0,false
