file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\traverse\AbstractGraphIteratorTest.java,org.jgrapht.traverse.AbstractGraphIteratorTest$MyTraversalListener,vertexTraversed/1[org.jgrapht.event.VertexTraversalEvent<java.lang.String>],false,216,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\testsrc\org\jgrapht\traverse\AbstractGraphIteratorTest.java,org.jgrapht.traverse.AbstractGraphIteratorTest$MyTraversalListener,connectedComponentFinished/1[org.jgrapht.event.ConnectedComponentTraversalEvent],false,172,4,5,0,5,3,6,16,0,0,1,6,0,0,0,0,0,0,0,5,1,0,1,0,0,0,18,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\DefaultListenableGraph.java,org.jgrapht.graph.DefaultListenableGraph$FlyweightVertexEvent,setType/1[int],false,495,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\DefaultListenableGraph.java,org.jgrapht.graph.DefaultListenableGraph$FlyweightVertexEvent,"FlyweightVertexEvent/3[java.lang.Object,int,VV]",true,485,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\DefaultListenableGraph.java,org.jgrapht.graph.DefaultListenableGraph$FlyweightVertexEvent,setVertex/1[VV],false,505,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\DefaultDirectedWeightedGraph.java,org.jgrapht.graph.DefaultDirectedWeightedGraph,"DefaultDirectedWeightedGraph/1[org.jgrapht.EdgeFactory<V,E>]",true,80,3,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\graph\DefaultDirectedWeightedGraph.java,org.jgrapht.graph.DefaultDirectedWeightedGraph,DefaultDirectedWeightedGraph/1[java.lang.Class<? extends E>],true,70,3,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\experimental\dag\DirectedAcyclicGraph.java,org.jgrapht.experimental.dag.DirectedAcyclicGraph$TopoComparator,TopoComparator/1[org.jgrapht.experimental.dag.DirectedAcyclicGraph.TopoOrderMapping<V>],true,684,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\experimental\dag\DirectedAcyclicGraph.java,org.jgrapht.experimental.dag.DirectedAcyclicGraph$TopoComparator,"compare/2[V,V]",false,689,2,1,0,1,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jgrapht-0.8.1\jgrapht-0.8.1\src\org\jgrapht\generate\RandomGraphGenerator.java,org.jgrapht.generate.RandomGraphGenerator$EdgeTopologyFactory,"createEdges/4[org.jgrapht.Graph<VV,EE>,java.util.Map<java.lang.Integer,VV>,int,java.util.Random]",false,187,3,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,true
