file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\iterators\ProxyListIterator.java,org.apache.commons.collections.iterators.ProxyListIterator,class,1,2,1,1,13,1,0,10,72,0.7692308,0.0,0.0,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,43,7,0,0,0,0,0,0,2,0,1,0,0,0,0,59,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\list\SynchronizedList.java,org.apache.commons.collections.list.SynchronizedList,class,2,5,3,2,14,2,0,11,91,1.0,0.0,0.0,14,1,11,0,3,0,14,0,0,0,1,1,0,1,0,0,1,0,0,62,11,0,0,0,0,0,1,2,0,2,1,0,0,0,78,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\CursorableLinkedList.java,org.apache.commons.collections.CursorableSubList,class,3,5,2,3,53,2,0,44,595,0.9714286,0.0,0.0,35,0,31,0,3,1,35,0,0,0,3,0,0,0,3,0,0,0,0,203,30,1,12,0,3,0,3,13,3,5,2,0,0,0,103,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\functors\ExceptionClosure.java,org.apache.commons.collections.functors.ExceptionClosure,class,3,4,1,3,3,1,0,0,3,0.8333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,2,2,1,1,0,0,2,0,0,13,1,0,0,0,0,1,1,2,0,2,0,0,0,0,43,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\ReferenceMap.java,org.apache.commons.collections.ReferenceMap$Entry,innerclass,3,3,0,3,25,1,0,9,0,0.59375,0.0,0.0,8,0,7,0,0,1,8,0,0,0,4,0,0,0,0,4,0,0,0,55,11,0,7,0,17,1,1,13,1,10,2,0,0,0,32,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\test\org\apache\commons\collections\BulkTest.java,org.apache.commons.collections.BulkTest,class,4,50,46,4,8,2,9,8,8,0.6,0.0,0.0,5,1,5,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,1,30,4,0,0,1,0,4,0,1,1,1,1,0,0,0,191,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\set\UnmodifiableSortedSet.java,org.apache.commons.collections.set.UnmodifiableSortedSet,class,5,8,3,5,15,4,0,11,91,1.0,0.0,0.0,14,1,11,3,0,0,11,0,0,0,1,1,0,1,0,0,1,0,1,53,6,0,0,0,0,0,1,5,0,4,1,0,0,0,86,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\java\org\apache\commons\collections\Closure.java,org.apache.commons.collections.Closure,interface,0,15,15,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\test\org\apache\commons\collections\map\AbstractTestMap.java,org.apache.commons.collections.map.AbstractTestMap,class,8,51,43,8,177,4,10,75,634,0.7564103,0.0,0.0,65,0,63,2,0,0,64,1,0,0,6,1,0,1,5,0,1,0,1,908,35,23,40,11,9,202,69,135,42,122,4,0,3,0,450,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\collections-3.2.1\collections-3.2.1\src\test\org\apache\commons\collections\map\TestLRUMap.java,org.apache.commons.collections.map.TestLRUMap$MockLRUMapSubclass,innerclass,3,3,0,3,2,5,0,2,1,0.5,0.0,0.0,2,0,0,0,1,1,2,0,0,0,3,0,0,0,0,3,0,0,0,14,1,0,0,0,0,0,0,3,0,3,0,0,0,0,15,8,0
