file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\access\types\BooleanTypeTest.java,org.apache.cayenne.access.types.BooleanTypeTest$Anonymous1,anonymous,0,0,0,0,2,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,3,0,2,0,0,0,0,0,7,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\build-tools\cayenne-regression-profiler\src\main\java\org\apache\cayenne\profile\entity\Entity2.java,org.apache.cayenne.profile.entity.Entity2,class,1,4,3,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\conf\ConfigurationTest.java,org.apache.cayenne.conf.ConfigurationTest,class,7,7,0,7,8,2,0,9,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,3,0,4,0,4,0,4,1,0,0,0,28,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\event\CallbackMethodDisplayEvent.java,org.apache.cayenne.modeler.event.CallbackMethodDisplayEvent,class,1,2,1,1,2,2,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\pref\ComponentGeometry.java,org.apache.cayenne.modeler.pref.ComponentGeometry,class,6,11,5,6,25,3,0,24,78,0.9230769,0.0,0.0,13,1,10,0,0,3,13,0,0,0,1,1,1,0,0,0,1,0,3,92,5,0,7,1,6,2,11,8,5,8,1,3,0,0,67,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\action\ImportEOModelAction.java,org.apache.cayenne.modeler.action.ImportEOModelAction,class,33,36,3,33,30,7,0,70,43,0.85,0.0,0.0,10,1,6,1,3,0,9,0,0,0,2,1,0,1,1,0,0,0,16,195,6,6,10,2,2,14,0,50,0,43,4,0,1,0,109,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\ActionManager.java,org.apache.cayenne.modeler.ActionManager,class,64,96,32,64,32,1,0,60,135,0.91111106,0.0,0.0,18,0,15,2,1,0,23,0,0,0,10,9,0,0,1,9,9,0,58,193,2,2,1,0,1,16,5,20,4,17,3,0,0,0,159,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\art\ArraysEntity.java,org.apache.art.ArraysEntity,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\mt\ClientMtTooneMaster.java,org.apache.cayenne.testdo.mt.ClientMtTooneMaster,class,1,2,1,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\dialog\pref\TemplatePreferencesView.java,org.apache.cayenne.modeler.dialog.pref.TemplatePreferencesView,class,3,4,1,3,4,5,0,7,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,0,29,3,0,0,0,0,4,2,5,0,5,0,0,0,0,25,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\query\ObjectIdQueryTest.java,org.apache.cayenne.query.ObjectIdQueryTest,class,7,7,0,7,7,2,0,14,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,52,0,0,2,0,2,23,7,18,0,18,0,0,0,0,47,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\main\java\org\apache\cayenne\access\jdbc\EJBQLPathTranslator.java,org.apache.cayenne.access.jdbc.EJBQLPathTranslator,class,20,32,12,20,40,2,3,56,36,0.74038464,0.0,0.0,13,0,6,0,7,0,13,1,0,0,8,0,0,2,6,0,0,0,2,178,8,3,13,0,1,9,8,48,9,38,3,0,0,0,113,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jpa-unpublished\src\main\java\org\apache\cayenne\jpa\conf\MemberAnnotationProcessorFactory.java,org.apache.cayenne.jpa.conf.MemberAnnotationProcessorFactory$EnumeratedProcessor,innerclass,4,4,0,4,2,2,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,1,1,0,0,0,16,24,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\test\java\org\apache\cayenne\modeler\event\ModelerEventTest.java,org.apache.cayenne.modeler.event.ModelerEventTest,class,3,3,0,3,2,4,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,3,0,3,0,0,1,0,15,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-jdk1.5-unpublished\src\test\java\org\apache\cayenne\testdo\relationship\auto\_ClobDetail.java,org.apache.cayenne.testdo.relationship.auto._ClobDetail,class,2,3,1,2,4,1,1,3,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,3,3,0,0,0,3,0,0,17,2,0,0,0,0,7,0,3,0,3,0,0,0,0,61,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\ProjectController.java,org.apache.cayenne.modeler.ProjectController,class,99,298,199,99,336,2,0,260,531,0.8625,0.0,0.0,110,0,105,3,2,0,107,0,0,0,8,0,0,0,8,0,0,0,17,1225,46,39,82,1,19,22,32,168,24,95,4,0,1,0,227,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\cayenne-3.0.1\cayenne-3.0.1\framework\cayenne-modeler\src\main\java\org\apache\cayenne\modeler\util\ProjectUtil.java,org.apache.cayenne.modeler.util.ProjectUtil,class,25,44,19,25,79,1,0,87,136,0.0,0.0,0.0,17,17,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,10,266,20,14,27,0,6,3,3,42,1,39,8,0,0,0,120,1,0
