file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\regexptrees\Text.java,com.hp.hpl.jena.graph.query.regexptrees.Text$TextChar,innerclass,2,2,0,2,6,3,0,0,0,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,18,4,0,1,0,1,3,0,1,2,1,0,0,0,0,11,8,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\rdf\arp\impl\QNameLexer.java,com.hp.hpl.jena.rdf.arp.impl.QNameLexer,class,6,10,4,6,56,1,2,21,91,0.85333335,0.0,0.0,15,3,3,3,1,8,13,7,0,0,5,2,0,0,0,5,5,0,2,148,30,0,3,3,3,40,13,9,1,8,2,0,0,0,78,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\datatypes\xsd\AbstractDateTime.java,com.hp.hpl.jena.datatypes.xsd.AbstractDateTime,class,2,14,12,2,54,1,2,17,111,0.90350884,0.0,0.0,18,7,6,3,9,0,15,0,0,0,9,7,4,0,5,0,7,0,20,192,32,6,18,0,9,0,76,71,24,39,3,0,0,0,225,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\jena\schemagen.java,jena.schemagen$SchemagenUtils,innerclass,1,1,0,1,6,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27,1,0,0,2,2,5,0,7,3,3,2,0,0,0,38,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\assembler\assemblers\AssemblerGroup.java,com.hp.hpl.jena.assembler.assemblers.AssemblerGroup$ExpandingAssemblerGroup,innerclass,12,12,0,12,5,3,0,14,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,0,0,2,0,0,4,25,4,0,0,0,0,0,0,3,0,3,0,0,0,0,25,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\n3\turtle\TurtleReader.java,com.hp.hpl.jena.n3.turtle.TurtleReader,class,4,4,0,4,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\util\iterator\IteratorIterator.java,com.hp.hpl.jena.util.iterator.IteratorIterator,class,2,5,3,2,9,1,0,6,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,24,3,1,3,0,0,0,0,3,0,2,2,0,0,0,60,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\compose\PolyadicPrefixMappingImpl.java,com.hp.hpl.jena.graph.compose.PolyadicPrefixMappingImpl,class,6,8,2,6,34,2,0,23,49,0.7,0.0,0.0,15,0,12,1,2,0,14,0,0,0,2,0,0,2,0,0,0,0,1,102,19,6,7,0,0,2,13,32,0,27,3,0,0,0,135,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\util\IteratorCollection.java,com.hp.hpl.jena.util.IteratorCollection,class,3,8,5,3,5,1,0,6,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,24,2,2,0,2,0,0,0,2,0,2,2,0,0,0,45,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\compose\CompositionBase.java,com.hp.hpl.jena.graph.compose.CompositionBase$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\graph\query\Applyer.java,com.hp.hpl.jena.graph.query.Applyer$Anonymous1,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Final_Project_2_Repos\jena-2.6.3\jena-2.6.3\com\hp\hpl\jena\vocabulary\RDF.java,com.hp.hpl.jena.vocabulary.RDF,class,4,22,18,4,4,1,0,4,0,0.71666664,0.0,0.0,4,4,2,0,2,0,4,0,2,0,15,15,14,0,1,0,15,0,17,45,4,0,0,0,0,16,0,15,2,15,0,0,1,0,42,1,0
